ID,Category,course title,Credit hours,course ID,class code
4,English,ENGL 1001 English Composition (3),3,ENGL,1001
5,English,ENGL 1004 English Composition (3),3,ENGL,1004
6,English,ENGL 1005 English Composition (3),3,ENGL,1005
7,English,ENGL 2000 English Composition (3),3,ENGL,2000
8,English,HNRS 2000 Critical Analysis (3),3,HNRS,2000
9,English,HNRS 2012 The 19th Century (3),3,HNRS,2012
10,English,HNRS 2013 The 20th Century (3),3,HNRS,2013
11,English,HNRS 2020 Contemporary Studies (3),3,HNRS,2020
12,English,HNRS 2021 Colloquium in the Arts (3),3,HNRS,2021
13,English,HNRS 2030 Humanities Colloquium (3),3,HNRS,2030
14,English,HNRS 2033 Social Science Colloquium (3),3,HNRS,2033
15,English,HNRS 2100 The Great Conversations (3),3,HNRS,2100
16,English,HNRS 2402 Classical Civilization in the Mediterranean World (3),3,HNRS,2402
17,English,HNRS 2404 Medieval Civilization in Western Europe (3),3,HNRS,2404
18,English,HNRS 2406 European Civilization from 1400 to 1789 (3),3,HNRS,2406
19,English,HNRS 2408 Modern Europe (3),3,HNRS,2408
23,Social/Behavioral,AAAS 2000 Introduction to African & African American Studies (3),3,AAAS,2000
24,Social/Behavioral,AAAS 2511 Race Relations (3),3,AAAS,2511
25,Social/Behavioral,AGEC 2003 Introduction to Agricultural Economics (3),3,AGEC,2003
26,Social/Behavioral,ANTH 1001 Introduction to Physical Anthropology and Prehistory (3),3,ANTH,1001
27,Social/Behavioral,ANTH 1003 Introduction to Cultural and Social Anthropology (3),3,ANTH,1003
28,Social/Behavioral,ANTH 2015 Introduction to Archaeology (3),3,ANTH,2015
29,Social/Behavioral,ANTH 2050 World Archaeology (3),3,ANTH,2050
30,Social/Behavioral,ANTH 2051 Introduction to World Ethnography (3),3,ANTH,2051
31,Social/Behavioral,ANTH 2423 Introduction to Folklore (3),3,ANTH,2423
32,Social/Behavioral,COMD 2050 Introduction to Language (3),3,COMD,2050
33,Social/Behavioral,CMST 2010 Interpersonal Communication (3),3,CMST,2010
34,Social/Behavioral,"EDCI 2001 Education, Schooling and Society (3)",3,EDCI,2001
35,Social/Behavioral,EDCI 2500 Knowing and Learning in Mathematics and Science (3),3,EDCI,2500
