ID,Program,Degree,Concentration,Requirements
1,DIGIT,"Studio Art, B.F.A.",Digital Art,"1,- For General Education Natural Sciences, both physical & life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (phys/life) not previously selected."
2,GRDESN,"Studio Art, B.F.A.",Graphic Design,"1,- For General Education Natural Sciences, both physical & life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (phys/life) not previously selected."
3,START,"Studio Art, B.F.A.",Studio Art,"1,- For General Education Natural Sciences, both physical & life sciences must be taken: six hours in a physical/life science sequence; three hours in an area (phys/life) not previously selected."
4,ASTR,"Physics, B.S.",Astronomy,"1,- Students may take the complete,PHYS 2110,,,PHYS 2112,,,PHYS 2113,sequence in place of the,PHYS 1201,,,PHYS 1202,sequence. A student who chooses the three semester sequence will require one less credit hour from free electives,2,-,ASTR 4221,and,ASTR 4222,are taught in alternate years with,ASTR 4261,and,PHYS 4135,. Students are to switch the semester that these courses are taken depending on what is offered that year."
5,MPHYS,"Physics, B.S.",Medical Physics,"1,- Students may take the complete,PHYS 2110,,,PHYS 2112,,,PHYS 2113,sequence in place of the,PHYS 1201,,,PHYS 1202,sequence. A student who chooses the three semester sequence will require one less credit hour from free electives."
6,PHYS,"Physics, B.S.",Physics,"1,- Students may take the complete,PHYS 2110,,,PHYS 2112,,,PHYS 2113,sequence in place of the,PHYS 1201,,,PHYS 1202,sequence. A student who chooses the three semester sequence will require one less credit hour from free electives.,2,- Area of Concentration Course: two 4000-level PHYS electives. With permission, a 4000-level MATH may be substituted for a 4000-level PHYS course."
7,PHYSD,"Physics, B.S.",Physics & Second Discipline,"1,- Students may take the complete,PHYS 2110,,,PHYS 2112,,,PHYS 2113,sequence in place of the,PHYS 1201,,,PHYS 1202,sequence. A student who chooses the three semester sequence will require one less credit hour from free electives.,2,- At least 24 semester hours from an approved discipline outside of the Department of Physics & Astronomy; any second area may be chosen with consent of the dean and department advisor. The approved area form must be submitted no later than the sophomore year."
8,PHYSSE,"Physics, B.S.",Secondary Education - Physics,"1,- Students may take the complete,PHYS 2110,,,PHYS 2112,,,PHYS 2113,sequence in place of the,PHYS 1201,,,PHYS 1202,sequence. A student who chooses the three semester sequence will require one less credit hour from free electives.,2,-,EDCI 2500,will count as one of the General Education social science courses. Some general education courses are taken in different years than in the standard curriculum. Students should plan their course work so that the last semester of the senior year can accommodate the 12 hours that are required to be taken concurrently (,EDCI 4006,and,EDCI 3136,).,PHYS 4125,and,PHYS 4132,are not required for this concentration, but may be used as physics 4000 electives.,3,- Students who do not take,SCI 2010,and,SCI 2011,are recommended to take,SCI 2012,by their fourth semester. Credit will not be given for,SCI 2012,if credit has been earned in,SCI 2010,and,SCI 2011,.,4,- If,SCI 2012,is taken in the fourth semester, then,EDCI 3550,should be taken in the sixth semester."
9,MACTSC,"Mathematics, B.S.",Actuarial Science,"1,-,MATH 1530,and,MATH 1540,, together, cover the material of, and may substitute for,,MATH 1550,.,2,- The courses selected to meet this natural science requirement must be chosen from courses offered by departments in the College of Science and come from the approved list.,3,- A student may substitute for,MATH 2020,a 3-hour-or-more math course at the 2000-level or higher that is not otherwise required, upon passing the Math Department’s Mathematical Maturity Exam.,4,-,ECON 2030,applies as three hours toward the university general education social sciences requirement. However, since it is also a concentration course, it must be passed with a grade of “C” of better."
10,MACMP,"Mathematics, B.S.",Computational Mathematics,"1,-,MATH 1530 Differential Calculus (3),and,MATH 1540 Integral Calculus (3),, together, cover the material of, and may substitute for,,MATH 1550,.,2,- The courses selected to meet this natural science requirement must be chosen from courses offered by departments in the College of Science and come from the approved list.,3,- A student may substitute for,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,a 3-hour-or-more math course at the 2000-level or higher that is not otherwise required, upon passing the Math Department’s Mathematical Maturity Exam.,4,- It is recommended that this course be chosen from,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,. In any case, the course must carry at least 3 hours’ credit and must not be otherwise required.,5,- Students may choose to take,MATH 2090,and waive,MATH 2065,as well as the core requirement of,MATH 2085,. The two-hour difference will be added to approved electives.,6,- Select from the following:,MATH 4340,,,MATH 4036,,,MATH 3355,,,MATH 4058,,,CSC 4356,(,ME 4573,) ,,CSC 4357,(,ME 4583,),,ME 4823,,,EE 3160,,,EE 4160,or upper division courses in engineering and science that have a strong computational component with the approval of the mathematics department."
11,DATASC,"Mathematics, B.S.",Data Science,"1,-,MATH 1530,and,MATH 1540,together, cover the material of, and may substitute for,,MATH 1550,.,2,- A mathematics major must take a two-semester sequence from one of the following two lists:,Biological Sciences:,BIOL 1001,,,BIOL 1002,or,BIOL 1201,,,BIOL 1202,; or,Physical Sciences:,ASTR 1101,,,ASTR 1102,;,CHEM 1001,,,CHEM 1002,,,CHEM 1201,,,CHEM 1202,;,GEOL 1001,,,GEOL 1003,;,PHYS 1201,,,PHYS 1202,,,PHYS 2001,,,PHYS 2002,,,PHYS 2110,,,PHYS 2112,,,PHYS 2113,.,The two-semester sequence must include two hours of corresponding laboratory credit. The student must also take a one-semester course chosen from whichever list above was not used for the two-semester sequence.,3,-,MATH 4200 Abstract Algebra I,may substitute for,MATH 4023,."
12,MATH,"Mathematics, B.S.",Mathematics,"1,-,MATH 1530 Differential Calculus (3),and,MATH 1540 Integral Calculus (3),, together, cover the material of, and may substitute for,,MATH 1550,.,2,- The courses selected to meet this natural science requirement must be chosen from courses offered by departments in the College of Science and come from the approved list.,3,-  A student may substitute for,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,a 3-hour-or-more math course at the 2000-level or higher that is not otherwise required, upon passing the Math Department’s Mathematical Maturity Exam.,4,- It is recommended that this course be chosen from,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,. In any case, the course must carry at least 3 hours credit and must not be otherwise required.,5,- Select from:,MATH 2065,,,MATH 2070,,,MATH 3355,,,MATH 4024,,,MATH 4025,,,MATH 4027,,,MATH 4032,,,MATH 4035,,,MATH 4036,,,MATH 4039,,,MATH 4056,,,MATH 4058,,,MATH 4064,,,MATH 4065,,,MATH 4066,,,MATH 4153,,,MATH 4158,,,MATH 4171,,,MATH 4172,,,MATH 4181,,,MATH 4201,,,MATH 4325,,,MATH 4340,,,MATH 4345,,,MATH 4700,,,MATH 4997,,,MATH 4999,.,NOTE:,At most six credit hours in the concentration may be from,MATH 4020,,,MATH 4997,or,MATH 4999,."
13,MASD,"Mathematics, B.S.",Mathematics and a Second Discipline,"1,-,MATH 1530 Differential Calculus (3),and,MATH 1540 Integral Calculus (3),, together, cover the material of, and may substitute for,,MATH 1550,.,2,- The courses selected to meet this natural science requirement must be chosen from courses offered by departments in the College of Science and come from the approved list.,3 -,A student may substitute for,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,a 3-hour-or-more math course at the 2000-level or higher that is not otherwise required, upon passing the Math Department’s Mathematical Maturity Exam.,4,-,Second Discipline Electives: 21 credit hours from another discipline. 12 of these must be at the 3000 or 4000 level, and 6 of the 12 must be at the 4000 level. Courses should form a coherent sequence in one department. Selection of the second discipline courses should be completed and approved by the department and dean’s office by the end of the sophomore year.,5,- It is recommended that this course be chosen from,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,. In any case, the course must carry at least 3 hours credit and must not be otherwise required.,6,- Select courses from:,MATH 3355,,,MATH 4024,,,MATH 4025,,,MATH 4027,,,MATH 4032,,,MATH 4035,,,MATH 4036,,,MATH 4039,,,MATH 4056,,,MATH 4058,,,MATH 4064,,,MATH 4065,,,MATH 4066,,,MATH 4153,,,MATH 4158,,,MATH 4171,,,MATH 4172,,,MATH 4181,,,MATH 4201,,,MATH 4325,,,MATH 4340,,,MATH 4345,,,MATH 4700,,,MATH 4997,,,MATH 4999,.,7,- At most six credit hours of the 39 hours in the concentration may be from,MATH 4020,,,MATH 4997,, or,MATH 4999,."
14,MATHST,"Mathematics, B.S.",Mathematical Statistics,"1,-,MATH 1530 Differential Calculus (3),and,MATH 1540 Integral Calculus (3),together, cover the material of, and may substitute for,,MATH 1550,.,2,- The courses selected to meet this natural science requirement must be chosen from courses offered by departments in the College of Science and come from the approved list.,3,- A student may substitute for,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,a 3-hour-or-more math course at the 2000-level or higher that is not otherwise required, upon passing the Math Department’s Mathematical Maturity Exam.,4,- It is recommended that this course be chosen from,MATH 2020,,,MATH 2025,,,MATH 2030,, or,MATH 2035,. In any case, the course must carry at least 3 hours’ credit and must not be otherwise required."
15,MATHSE,"Mathematics, B.S.",Secondary Education - Mathematics,"1,-,MATH 1530 Differential Calculus (3),and,MATH 1540 Integral Calculus (3),, together, cover the material of, and may substitute for,,MATH 1550,.,2,- Students who do not take,SCI 2010,and,SCI 2011,are recommended to take,SCI 2012,by their fourth semester. Credit will not be given for,SCI 2012,if credit has been earned in,SCI 2010,and,SCI 2011,.,3,- The courses selected to meet this natural science requirement must be chosen from courses offered by departments in the College of Science and come from the approved list.,4,-,Students should plan their course work so that the last semester of the senior year can accommodate the 12 hours that are required to be taken concurrently (,EDCI 4006,and,EDCI 3136,).,5,-,EDCI 2500,will count as one of the General Education Social Sciences courses.,6,-,A student may substitute for,MATH 2020,a 3-hour-or-more math course at the 2000-level or higher that is not otherwise required, upon passing the Math Department’s Mathematical Maturity Exam.,7,- It is recommended that this course be chosen from,MATH 2025,,,MATH 2030,, or,MATH 2035,. In any case, the course must carry at least 3 hours’ credit and must not be otherwise required."
16,ENVGEO,"Geology, B.S.Geol.",Environmental Geology,
17,GEOLP,"Geology, B.S.Geol.",Geology,
18,GEOP,"Geology, B.S.Geol.",Geophysics,
19,,"Geology, B.S.Geol.",Geology and a Second Discipline,"1,-,GEOL 1201,is recommended in the first semester, but for students transferring into the major after the first semester,,GEOL 1001,+,GEOL 1601,or,GEOL 1002,+,GEOL 1601,may be substituted for credit.,2,-,GEOL 1202,is recommended in the second semester, but for students transferring into the major after the second semester,,GEOL 1003,+,GEOL 1602,or,GEOL 1004,+,GEOL 1602,may be substituted for credit.,3,- 17 hours of 3000-level or 4000-level geology electives with at least 3 credit hours at the 4000-level,4,- 21 credit hours from another discipline. 12 of these must be at the 3000 or 4000 level, and 6 of the 12 must be at the 4000 level. Courses should form a coherent sequence and come from one department unless pursuing an interdisciplinary minor. Selection of the second discipline courses should be completed and approved by the department and dean’s office by the end of the sophomore year."
20,CHEMA,"Chemistry, BA",Chemistry,
21,BCHEM,"Chemistry, B.S.",Biological Chemistry,"1,- One General Education Social Science course must be at least 2000-level.,2,-,CHEM 3900,in an approved biological chemistry project or,BIOL 3999,including a comprehensive written report filed with the Department of Chemistry’s Undergraduate Office. A minimum of 2 hours is required for the degree.,**The biological chemistry, pre-professional, and secondary education concentrations also require,BIOL 1208,and,BIOL 1209,laboratories."
22,CHEMA,"Chemistry, B.S.",Chemistry,"1,- One General Education Social Science course must be at least 2000-level.,2,- Two semester hours of,CHEM 3900,in an approved chemistry project.,3,- CHEMISTRY ELECTIVES:,CHEM 3900,(additional hours),,CHEM 4010,,,CHEM 4011,,,CHEM 4150,,,CHEM 4160,,,CHEM 4556,,,CHEM 4557,,,CHEM 4558,,,CHEM 4559,,,CHEM 4561,,,CHEM 4562,,,CHEM 4563,,,CHEM 4565,,,CHEM 4570,,,CHEM 4571,,,CHEM 4581,,,CHEM 4594,,,CHEM 4596,,,CHEM 4597,."
23,CHEMPH,"Chemistry, B.S.",Chemical Physics,"1,- One General Education Social Science course must be at least 2000-level.,2,- Two semester hours of,CHEM 3900,in an approved physical chemistry project.,3,- Chemical Physics Electives:,CHEM 4594,,,CHEM 4597,,,PHYS 4123,,,PHYS 4125,,,PHYS 4141,."
24,CHEMSD,"Chemistry, B.S.",Chemistry & Second Discipline,"1,- One General Education Social Science course must be at least 2000-level.,2,- Second discipline electives: Courses should form a coherent sequence in one department with at least three courses numbered 3000 or above. If courses are from more than one department, student may obtain a minor in that discipline. Selection of the concentration courses should be completed and approved by the undergraduate office and the Dean’s office by the end of Semester 4.,3,- Two semester hours of,CHEM 3900,in an approved chemistry project."
