ID,course title,Credit hours,course ID,class code,preReqs
1,**COURSE SEARCH** - Louisiana State University - Modern Campus Catalog™,1,**COURSE,,"Since this catalog was prepared well in advance of its effective date, some courses may have been added, others may have been dropped, and/or changes in content may have been made."
2,ACCT 2002 Honors: Introductory Financial Accounting (3) - Modern Campus Catalog™,3,ACCT,2002,"Same as,ACCT 2001,, with special honors emphasis for qualified students.,Credit will not be given for this course and,ACCT 2000,or,ACCT 2001,."
3,ACCT 2000 Survey of Accounting (3) - Modern Campus Catalog™,3,ACCT,2000,"MATH 1021,or,MATH 1029,or equivalent.,Credit will not be given for both this course and,ACCT 2001,or,ACCT 2002,. Students in nonbusiness curricula are advised to enroll in ACCT 2000 if they are given the option of ACCT 2000 or,ACCT 2001,, unless they plan to pursue a business degree at a subsequent date. All students in the E. J. Ourso College of Business are required to take,ACCT 2001,."
4,ACCT 2001 Introductory Financial Accounting (3) - Modern Campus Catalog™,3,ACCT,2001,"MATH 1021,or equivalent.,Credit will not be given for both this course and,ACCT 2000,or,ACCT 2002,. Required of all students in the E. J. Ourso College of Business. Students in nonbusiness curricula are advised to enroll in,ACCT 2000,if they are given the option of,ACCT 2000,or ACCT 2001, unless they plan to pursue a business degree at a subsequent date."
5,ACCT 2101 Introductory Managerial Accounting (3) - Modern Campus Catalog™,3,ACCT,2101,"ACCT 2000,or,ACCT 2001,or equivalent.,Credit will not be given for both this course and,ACCT 2102,."
6,ACCT 2102 Honors: Introductory Managerial Accounting (3) - Modern Campus Catalog™,3,ACCT,2102,"Same as,ACCT 2101,, with special honors emphasis for qualified students.,Credit will not be given for this course and,ACCT 2101,."
7,Louisiana State University - Modern Campus Catalog™,1,Louisiana,,"LSU General Catalog,prior,prior"
8,Online Help - Louisiana State University - Modern Campus Catalog™,1,Online,,
9,ACCT 7231 Internship in Accounting (3) - Modern Campus Catalog™,3,ACCT,7231,"MAcc students only and permission of instructor and department chair required.,Pass-fail grading.,Credit will not be given for this course and,ACCT 7333,.  At least 20 hours per week of learning experience in accounting under the general supervision of a faculty member and direct supervision of a professional in accounting. Grading based on the faculty member’s evaluation, professional supervisor’s evaluation, and a written report by the student."
10,ACCT 7222 Auditing Theory and Standards (3) - Modern Campus Catalog™,3,ACCT,7222,"ACCT 3222,; MS in accounting students or permission of instructor."
