ID,Program,degree,type,concentration,credit,hours,restrictions
1,Energy,Energy Minor,Minor,,"To graduate with a minor in energy, students must complete 15 hours consisting of the following courses:  GEOL 1001   ;  GEOL 1003    or  GEOL 2020   ;  FIN 3351   ; and six hours chosen from:  ACCT 4501   ,  ECON 4320   ,  ECON 4325   ,  ENVS 4261   ,  FIN 3718   ,  ENTR 4050   ,  ISDS 4160   , or a faculty advisor approved energy elective.  Students must have a 2.0 GPA in the courses used to satisfy the minor. At least nine semester hours must be taken on this campus.",120,
2,Business,Business Administration Minor,Minor,,"To graduate with a  minor in business administration , students must complete 18 hours consisting of the following courses:  ACCT 2000    or  ACCT 2001   ;  ECON 2030   ;  FIN 3715   ;  ISDS 1100   ;  MGT 3200   ;  MKT 3401   . Students must have a 2.0 GPA in the courses used to satisfy the minor. At least nine semester hours must be taken on this campus and, of the nine hours, three must be at the 3000 or 4000 level. This minor is  NOT  available to students in the E. J. Ourso College of Business.",120,
3,BANLYT,"General Business, B.S.",Major,Business Analytics,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Humanities"", ""Natural""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""Arts""], ""Semester 4"": [""ECON 2035"", ""ENGL 2000"", ""ISDS 2001"", ""Oral and Written Communication Requirement 2 (3)[3,5]"", ""Natural""], ""Semester 5"": [""BLAW 3201"", ""MGT 3200"", ""FIN 3716"", ""ISDS 3115"", ""MKT 3401""], ""Semester 6"": [""Approved General Business Courses (12)[5]"", ""Elective (3)[6]""], ""Semester 7"": [""Humanities"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""], ""Semester 8"": [""MGT 3830"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""]}",120,
4,DGMKT,"General Business, B.S.",Major,Digital Marketing,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ECON 2010"", ""ISDS 2000"", ""ACCT 2101"", ""Humanities"", ""Arts""], ""Semester 4"": [""ECON 2035"", ""ENGL 2000"", ""ISDS 2001"", ""Oral and Written Communication Requirement 2 (3)[3,5]"", ""Natural""], ""Semester 5"": [""BLAW 3201"", ""MGT 3200"", ""FIN 3716"", ""ISDS 3115"", ""MKT 3401""], ""Semester 6"": [""Approved General Business Courses (12)[5]"", ""Elective (3)[6]""], ""Semester 7"": [""Humanities"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""], ""Semester 8"": [""MGT 3830"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""]}",120,
5,HRM,"General Business, B.S.",Major,Human Resource Management,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""ISDS 1102"", ""MATH 1021"", ""Natural""], ""Semester 2"": [""ACCT 2001"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Humanities"", ""Natural""], ""Semester 3"": [""ECON 2010"", ""ISDS 2000"", ""ACCT 2101"", ""Humanities"", ""Arts""], ""Semester 4"": [""ECON 2035"", ""ENGL 2000"", ""ISDS 2001"", ""Oral and Written Communication Requirement 2 (3)[3,5]"", ""Natural""], ""Semester 5"": [""BLAW 3201"", ""MGT 3200"", ""FIN 3716"", ""ISDS 3115"", ""MKT 3401""], ""Semester 6"": [""Approved General Business Courses (12)[5]"", ""Elective (3)[6]""], ""Semester 7"": [""Humanities"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""], ""Semester 8"": [""MGT 3830"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""]}",120,
6,INTECH,"General Business, B.S.",Major,Information Technology Management,"{""Semester 1"": [""ECON 2000"", ""ENGL 1001"", ""MATH 1021"", ""Natural"", ""Humanities""], ""Semester 2"": [""ACCT 2001"", ""ISDS 1102"", ""MATH 1431"", ""Oral and Written Communication Requirement 1 (3)[2]"", ""Natural""], ""Semester 3"": [""ECON 2010"", ""ISDS 2000"", ""ACCT 2101"", ""Humanities"", ""Arts""], ""Semester 4"": [""ECON 2035"", ""ENGL 2000"", ""ISDS 2001"", ""Oral and Written Communication Requirement 2 (3)[3,5]"", ""Natural""], ""Semester 5"": [""BLAW 3201"", ""MGT 3200"", ""FIN 3716"", ""ISDS 3115"", ""MKT 3401""], ""Semester 6"": [""Approved General Business Courses (12)[5]"", ""Elective (3)[6]""], ""Semester 7"": [""Humanities"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""], ""Semester 8"": [""MGT 3830"", ""Approved General Business Courses (9)[5]"", ""Elective (3)[6]""]}",120,
7,International,International Business Minor,Minor,,"To graduate with a minor in international business, students must complete 15 hours. This includes 9 hours selected from at least two different academic departments:  ECON 4520   ,  ECON 4550   ,  ECON 4070   ,  FIN 3718   ,  GBUS 4991   ,  MGT 4430   ,  MGT 4440   ,  MGT 4450   , or a departmentally approved international business elective; and 6 hours of departmentally approved electives. Students must have a 2.0 GPA in the courses used to satisfy the minor. At least nine semester hours must be taken on this campus, and, at least three of the nine hours must be at the 3000 or 4000 level.",120,
8,Internal,Internal Auditing Minor,Minor,,"LSU is a worldwide leader in the field of internal audit. An internal audit minor includes courses in accounting and information systems & decision sciences. The minor is open to all LSU students. To graduate with a minor in internal auditing, students must complete 15 hours consisting of the following courses:  ACCT 3233   ,  ACCT 4233   ,  ACCT 4234   ; and six hours chosen from:  ACCT 3122   ,  ACCT 3222   ,  ACCT 4235   ,  ACCT 4237   ,  ACCT 4244   ,  ACCT 4333   ,  ISDS 3100   ,  ISDS 3110   ,  ISDS 4113   ,  ISDS 4141   ,  ISDS 4244   , or a faculty advisor approved elective. Students must have a 2.0 GPA in the courses used to satisfy the minor. At least nine semester hours must be taken on this campus.",120,
9,Interior,Interior Design Minor,Minor,,"Track 1:  To graduate with a minor in interior design, students in the College of Art + Design must complete 18 hours of designated courses. This minor is not available for students majoring in interior design. To complete the minor, students are required to take  ID 1051   ,  ID 2770   ,  ID 2775   , and  ID 2776   . In addition, to complete the required number of credits, students may select two additional courses from the following list:  ID 3777   ,  ID 4741   ,  ID 4742   ,  ID 4751   , or  ID 4772   .    Track 2:  To graduate with a minor in interior design, students in majors outside the College of Art + Design must complete 18 hours of designated courses. This minor is not available for students majoring in interior design. To complete the minor, students are required to take  ID 1711   ,  ART 1008    or  ART 1011   ;  ID 1712    or  ART 1009    or  ART 1012   ;  ID 1051   ,  ID 2770   , and  ID 2775   . In addition, to complete the required number of credits, students may select an additional course from the following list:  ID 2776   ,  ID 4741   ,  ID 4742   , or  ID 4772   .",120,
10,Sculpture,Sculpture Minor,Minor,,"To graduate with a  minor in sculpture , students must complete  ART 2761     and  ART 4761     (repeated for nine credit hours each).",120,
