id,Category,course title,Credit hours,course ID,class code
1,English,ENGL 1001 English Composition (3),3,ENGL,1001
2,English,ENGL 1004 English Composition (3),3,ENGL,1004
3,English,ENGL 1005 English Composition (3),3,ENGL,1005
4,English,ENGL 2000 English Composition (3),3,ENGL,2000
5,English,HNRS 2000 Critical Analysis (3),3,HNRS,2000
6,English,HNRS 2012 The 19th Century (3),3,HNRS,2012
7,English,HNRS 2013 The 20th Century (3),3,HNRS,2013
8,English,HNRS 2020 Contemporary Studies (3),3,HNRS,2020
9,English,HNRS 2021 Colloquium in the Arts (3),3,HNRS,2021
10,English,HNRS 2030 Humanities Colloquium (3),3,HNRS,2030
11,English,HNRS 2033 Social Science Colloquium (3),3,HNRS,2033
12,English,HNRS 2100 The Great Conversations (3),3,HNRS,2100
13,English,HNRS 2402 Classical Civilization in the Mediterranean World (3),3,HNRS,2402
14,English,HNRS 2404 Medieval Civilization in Western Europe (3),3,HNRS,2404
15,English,HNRS 2406 European Civilization from 1400 to 1789 (3),3,HNRS,2406
16,English,HNRS 2408 Modern Europe (3),3,HNRS,2408
17,Social/Behavioral,AAAS 2000 Introduction to African & African American Studies (3),3,AAAS,2000
18,Social/Behavioral,AAAS 2511 Race Relations (3),3,AAAS,2511
19,Social/Behavioral,AGEC 2003 Introduction to Agricultural Economics (3),3,AGEC,2003
20,Social/Behavioral,ANTH 1001 Introduction to Physical Anthropology and Prehistory (3),3,ANTH,1001
21,Social/Behavioral,ANTH 1003 Introduction to Cultural and Social Anthropology (3),3,ANTH,1003
22,Social/Behavioral,ANTH 2015 Introduction to Archaeology (3),3,ANTH,2015
23,Social/Behavioral,ANTH 2050 World Archaeology (3),3,ANTH,2050
24,Social/Behavioral,ANTH 2051 Introduction to World Ethnography (3),3,ANTH,2051
25,Social/Behavioral,ANTH 2423 Introduction to Folklore (3),3,ANTH,2423
26,Social/Behavioral,COMD 2050 Introduction to Language (3),3,COMD,2050
27,Social/Behavioral,CMST 2010 Interpersonal Communication (3),3,CMST,2010
28,Social/Behavioral,"EDCI 2001 Education, Schooling and Society (3)",3,EDCI,2001
29,Social/Behavioral,EDCI 2500 Knowing and Learning in Mathematics and Science (3),3,EDCI,2500
30,Social/Behavioral,ECON 1001 The Economics of Life (3),3,ECON,1001
31,Social/Behavioral,ECON 2000 Principles of Microeconomics (3),3,ECON,2000
32,Social/Behavioral,ECON 2001 HONORS: Principles of Microeconomics (3),3,ECON,2001
33,Social/Behavioral,ECON 2010 Principles of Macroeconomics (3),3,ECON,2010
