id,course title,Credit hours,course ID,class code,preReqs
1,MATH 1550 Differential and Integral Calculus,5,MATH,1550,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [""This is an Integrative Learning Core (ILC) course that awards general education credit.""], ""Prerequisites"": [{""Requirement"": ""An appropriate ALEKS placement score"", ""Type"": ""Score""}], ""Replacements"": [{""Replacement"": [""MATH 1530"", ""MATH 1540""], ""Type"": ""True""}, {""Replacement"": [""MATH 1551""], ""Type"": ""True""}, {""Replacement"": [""MATH 1510""], ""Type"": ""Potential""}, {""Replacement"": [""MATH 1431""], ""Type"": ""Potential""}]}"
2,ENGL 1001 English Composition,3,ENGL,1001,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [""This is an Integrative Learning Core (ILC) course that awards general education credit.""], ""Prerequisites"": [{""Requirement"": ""Placement by department"", ""Type"": ""Permission""}], ""Replacements"": []}"
3,CSC 1350 Computer Science I for Majors,4,CSC,1350,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 1022"", ""MATH 1023"", ""MATH 1550"", ""MATH 1551"", ""MATH 1552""], ""Type"": ""Class""}], ""Other"": [""3 hrs. lecture; 3 hrs. lab.""], ""Prerequisites"": [], ""Replacements"": [{""Replacement"": [""CSC 1250""], ""Type"": ""Potential""}, {""Replacement"": [""CSC 1253""], ""Type"": ""Potential""}]}"
4,BIOL 1201 Biology for Science Majors I,3,BIOL,1201,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 1022"", ""MATH 1023"", ""MATH 1431"", ""MATH 1530"", ""MATH 1550"", ""MATH 1551""], ""Type"": ""Class""}], ""Other"": [""This is an Integrative Learning Core (ILC) course that awards general education credit.""], ""Prerequisites"": [{""Requirement"": ""minimum ACT composite of 23"", ""Type"": ""Score""}], ""Replacements"": [{""Replacement"": [""BIOL 1001""], ""Type"": ""Potential""}]}"
5,ECON 2000 Principles of Microeconomics,3,ECON,2000,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [""This is an Integrative Learning Core (ILC) course that awards general education credit.""], ""Prerequisites"": [], ""Replacements"": [{""Replacement"": [""ECON 2001""], ""Type"": ""True""}, {""Replacement"": [""ECON 2030""], ""Type"": ""Potential""}]}"
6,MATH 1021 College Algebra,3,MATH,1021,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [""This is an Integrative Learning Core (ILC) course that awards general education credit.""], ""Prerequisites"": [{""Requirement"": ""placement by department"", ""Type"": ""Permission""}], ""Replacements"": [{""Replacement"": [""MATH 1015""], ""Type"": ""Potential""}, {""Replacement"": [""MATH 1023""], ""Type"": ""Potential""}]}"
7,HNRS 2000 Critical Analysis,3,HNRS,2000,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [""This is an Integrative Learning Core (ILC) course that awards general education credit. Course for first-year Honors College students.""], ""Prerequisites"": [], ""Replacements"": []}"
8,HIST 2055 The United States to 1865,3,HIST,2055,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [""This is an Integrative Learning Core (ILC) course that awards general education credit.""], ""Prerequisites"": [], ""Replacements"": []}"
9,ACCT 2001 Introductory Financial Accounting,3,ACCT,2001,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [""Required of all students in the E. J. Ourso College of Business. Students in nonbusiness curricula are advised to enroll in ACCT 2000 if they are given the option of ACCT 2000 or ACCT 2001, unless they plan to pursue a business degree at a subsequent date.""], ""Prerequisites"": [{""Requirement"": ""MATH 1021"", ""Type"": ""Class""}], ""Replacements"": [{""Replacement"": [""ACCT 2002""], ""Type"": ""True""}, {""Replacement"": [""ACCT 2000""], ""Type"": ""Potential""}]}"
10,MATH 4040 Short-term Actuarial Mathematics I (3) - Modern Campus Catalog™,3,MATH,4040,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": ""MATH 3355"", ""Type"": ""Class""}], ""Replacements"": []}"
11,MATH 4039 Introduction to Topology (3) - Modern Campus Catalog™,3,MATH,4039,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 2057"", ""MATH 2058""], ""Type"": ""Class""}], ""Replacements"": []}"
12,MATH 4038 Mathematical Methods in Engineering (3) - Modern Campus Catalog™,3,MATH,4038,"{  ""Alternative-reqs"": [],  ""Corequisites"": [],  ""Other"": [""Also offered as ME 4563.""],  ""Prerequisites"": [    {      ""Requirement"": [""MATH 2065"", ""MATH 2070"", ""MATH 2090""],      ""Type"": ""Class""    },    {      ""Requirement"": [""MATH 2057"", ""MATH 2058""],      ""Type"": ""Class""    }  ],  ""Replacements"": []}"
13,MATH 4036 Complex Variables (3) - Modern Campus Catalog™,3,MATH,4036,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 2057"", ""MATH 2058""], ""Type"": ""Class""}], ""Replacements"": []}"
14,MATH 4035 Advanced Calculus of Several Variables (3) - Modern Campus Catalog™,3,MATH,4035,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": ""MATH 4031"", ""Type"": ""Class""}], ""Replacements"": []}"
15,MATH 4032 Advanced Calculus II (3) - Modern Campus Catalog™,3,MATH,4032,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": ""MATH 4031"", ""Type"": ""Class""}], ""Replacements"": []}"
16,MATH 4031 Advanced Calculus I (3) - Modern Campus Catalog™,3,MATH,4031,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 2057"", ""MATH 2058""], ""Type"": ""Class""}, {""Requirement"": [""MATH 2085"", ""MATH 2090""], ""Type"": ""Class""}], ""Replacements"": []}"
17,MATH 4027 Differential Equations (3) - Modern Campus Catalog™,3,MATH,4027,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 2057"", ""MATH 2058""], ""Type"": ""Class""}, {""Requirement"": [""MATH 2085"", ""MATH 2090""], ""Type"": ""Class""}], ""Replacements"": []}"
18,MATH 4025 Optimization Theory and Applications (3) - Modern Campus Catalog™,3,MATH,4025,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 2085"", ""MATH 2090""], ""Type"": ""Class""}], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 2057"", ""MATH 2058""], ""Type"": ""Class""}], ""Replacements"": []}"
19,MATH 4024 Mathematical Models (3) - Modern Campus Catalog™,3,MATH,4024,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 2085"", ""MATH 2090""], ""Type"": ""Class""}], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 1552"", ""MATH 1553""], ""Type"": ""Class""}], ""Replacements"": []}"
20,MATH 4023 Applied Algebra (3) - Modern Campus Catalog™,3,MATH,4023,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 2085"", ""MATH 2090""], ""Type"": ""Class""}], ""Replacements"": [{""Replacement"": [""MATH 4200""], ""Type"": ""Potential""}]}"
21,MATH 4020 Capstone Course (3) - Modern Campus Catalog™,3,MATH,4020,"{""Alternative-reqs"": [{""Requirement"": ""Permission of the department"", ""Type"": ""Permission""}], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": ""A 4000-level mathematics course with a grade of C or better"", ""Type"": ""Class""}], ""Replacements"": []}"
22,MATH 4019 Calculus Internship Capstone (2) - Modern Campus Catalog™,2,MATH,4019,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": ""MATH 3003"", ""Type"": ""Class""}], ""Replacements"": []}"
23,MATH 4005 Geometry (3) - Modern Campus Catalog™,3,MATH,4005,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [], ""Replacements"": []}"
24,MATH 3903 Methods of Problem Solving (2) - Modern Campus Catalog™,2,MATH,3903,"{  ""Alternative-reqs"": [    {      ""Requirement"": ""consent of the department"",      ""Type"": ""Permission""    }  ],  ""Corequisites"": [],  ""Other"": [""Pass-fail grading. May be taken for a max. of 6 hrs. of credit when topics vary.""],  ""Prerequisites"": [    {      ""Requirement"": [""MATH 1552"", ""MATH 1553""],      ""Type"": ""Class""    },    {      ""Requirement"": [""MATH 2070"", ""MATH 2085"", ""MATH 2090""],      ""Type"": ""Class""    }  ],  ""Replacements"": []}"
25,MATH 3355 Probability (3) - Modern Campus Catalog™,3,MATH,3355,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 2057"", ""MATH 2058""], ""Type"": ""Class""}], ""Other"": [], ""Prerequisites"": [], ""Replacements"": [{""Replacement"": [""EE 3150""], ""Type"": ""Potential""}]}"
26,MATH 3050 Interest Theory (5) - Modern Campus Catalog™,5,MATH,3050,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 1552"", ""MATH 1553""], ""Type"": ""Class""}], ""Replacements"": []}"
27,MATH 3003 Functions & Modeling (3) - Modern Campus Catalog™,3,MATH,3003,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""SCI 2011"", ""SCI 2012""], ""Type"": ""Class""}], ""Replacements"": []}"
28,MATH 3002 Mathematics Classroom Presentations (2) - Modern Campus Catalog™,2,MATH,3002,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""SCI 2010"", ""SCI 2012""], ""Type"": ""Class""}], ""Replacements"": []}"
29,MATH 2999 Introductory Research Experience (1-3) - Modern Campus Catalog™,3,MATH,2999,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": ""Permission of department"", ""Type"": ""Permission""}], ""Replacements"": []}"
30,MATH 2203 Measurement: Proportional and Algebraic Reasoning (3) - Modern Campus Catalog™,3,MATH,2203,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""EDCI 3125""], ""Type"": ""Class""}], ""Other"": [""Mathematics content course designed to be integrated in Praxis II with the principles and structures of mathematical reasoning applied to the grades 1-6 classroom. 2 hrs. lecture; 2 hrs. lab/field experience (as part of Professional Practice II Block).""], ""Prerequisites"": [{""Requirement"": [""MATH 1201"", ""MATH 1202""], ""Type"": ""Class""}, {""Requirement"": ""Professional Practice I Block"", ""Type"": ""Permission""}, {""Requirement"": ""12 sem. hrs. of mathematics"", ""Type"": ""Score""}], ""Replacements"": []}"
31,MATH 2090 Elementary Differential Equations and Linear Algebra (4) - Modern Campus Catalog™,4,MATH,2090,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": ""MATH 1552"", ""Type"": ""Class""}], ""Replacements"": [{""Replacement"": [""MATH 2065""], ""Type"": ""Potential""}, {""Replacement"": [""MATH 2070""], ""Type"": ""Potential""}, {""Replacement"": [""MATH 2085""], ""Type"": ""Potential""}]}"
32,MATH 2085 Linear Algebra (3) - Modern Campus Catalog™,3,MATH,2085,"{  ""Alternative-reqs"": [],  ""Corequisites"": [    {      ""Requirement"": [""MATH 1530"", ""MATH 1550"", ""MATH 1551""],      ""Type"": ""Class""    }  ],  ""Other"": [],  ""Prerequisites"": [    {      ""Requirement"": ""MATH 1431"",      ""Type"": ""Class""    }  ],  ""Replacements"": [    {      ""Replacement"": [""MATH 2090""],      ""Type"": ""Potential""    }  ]}"
33,MATH 2070 Mathematical Methods in Engineering (4) - Modern Campus Catalog™,4,MATH,2070,"{  ""Alternative-reqs"": [],  ""Corequisites"": [],  ""Other"": [],  ""Prerequisites"": [    {      ""Requirement"": [""MATH 1552"", ""MATH 1553""],      ""Type"": ""Class""    }  ],  ""Replacements"": [    {      ""Replacement"": [""MATH 2065"", ""MATH 2090""],      ""Type"": ""Potential""    }  ]}"
34,MATH 2065 Elementary Differential Equations (3) - Modern Campus Catalog™,3,MATH,2065,"{  ""Alternative-reqs"": [],  ""Corequisites"": [],  ""Other"": [],  ""Prerequisites"": [    {      ""Requirement"": [""MATH 1552"", ""MATH 1553""],      ""Type"": ""Class""    }  ],  ""Replacements"": [    {      ""Replacement"": [""MATH 2070"", ""MATH 2090""],      ""Type"": ""True""    }  ]}"
35,MATH 2060 Technology Lab (1) - Modern Campus Catalog™,1,MATH,2060,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 2057"", ""MATH 2058""], ""Type"": ""Class""}], ""Other"": [""Students are encouraged to enroll in MATH 2057 and MATH 2060 concurrently.""], ""Prerequisites"": [], ""Replacements"": []}"
36,MATH 2058 HONORS: Multidimensional Calculus (3) - Modern Campus Catalog™,3,MATH,2058,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [], ""Replacements"": [{""Replacement"": [""MATH 2057""], ""Type"": ""True""}]}"
37,MATH 2057 Multidimensional Calculus (3) - Modern Campus Catalog™,3,MATH,2057,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 1552"", ""MATH 1553""], ""Type"": ""Class""}], ""Replacements"": [{""Replacement"": [""MATH 2058""], ""Type"": ""True""}]}"
38,MATH 2035 Mathematical Foundations of Data Science (3) - Modern Campus Catalog™,3,MATH,2035,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 1552"", ""MATH 1553""], ""Type"": ""Class""}], ""Other"": [], ""Prerequisites"": [], ""Replacements"": []}"
39,MATH 2030 Discrete Dynamical Systems (3) - Modern Campus Catalog™,3,MATH,2030,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 1552"", ""MATH 1553""], ""Type"": ""Class""}], ""Other"": [], ""Prerequisites"": [], ""Replacements"": []}"
40,MATH 2025 Linear Algebra and Wavelets (3) - Modern Campus Catalog™,3,MATH,2025,"{""Alternative-reqs"": [], ""Corequisites"": [], ""Other"": [], ""Prerequisites"": [{""Requirement"": [""MATH 1550"", ""MATH 1551""], ""Type"": ""Class""}], ""Replacements"": []}"
41,MATH 2020 Solving Discrete Problems (3) - Modern Campus Catalog™,3,MATH,2020,"{""Alternative-reqs"": [], ""Corequisites"": [{""Requirement"": [""MATH 1540"", ""MATH 1550"", ""MATH 1551""], ""Type"": ""Class""}], ""Other"": [], ""Prerequisites"": [], ""Replacements"": [{""Replacement"": [""CSC 2259""], ""Type"": ""Potential""}]}"
