course title,Credit hours,course ID,class code,preReqs
**COURSE SEARCH** - Louisiana State University - Modern Campus Catalog™,1,**COURSE,,"Since this catalog was prepared well in advance of its effective date, some courses may have been added, others may have been dropped, and/or changes in content may have been made."
Louisiana State University - Modern Campus Catalog™,1,Louisiana,,"LSU General Catalog,prior,prior"
Online Help - Louisiana State University - Modern Campus Catalog™,1,Online,,
ACCT 4225 Research in Federal Income Taxation (3) - Modern Campus Catalog™,3,ACCT,4225,"Prereq.:,registration in or grade of “C” or above in,ACCT 3221,. MS in accounting students or permission of department.,Credit will not be given for this course and,ACCT 7210,."
ACCT 4221 Income Tax Accounting II (3) - Modern Campus Catalog™,3,ACCT,4221,"[LCCN: CACC 3223, Tax II (Upper Level)],Prereq.:,grade of “C” or above in,ACCT 3221,; MS in accounting students or permission of department."
ACCT 4231 Internship in Accounting (3) - Modern Campus Catalog™,3,ACCT,4231,"Prereq.:,Majors only and permission of instructor and department chair required. Grade of “C” or above in,ACCT 3021,.,Pass-fail grading.,Credit will not be given for this course and,ACCT 4333,. At least 20 hours per week of learning experience in accounting under the general supervision of a faculty member and direct supervision of a professional in accounting. Grading based on the faculty member’s evaluation, professional supervisor’s evaluation, and a written report by the student."
ACCT 4233 Case Studies in Auditing (3) - Modern Campus Catalog™,3,ACCT,4233,"Prereq.:,grade of “C” or above in,ACCT 3233,."
ACCT 4234 Internal Auditing II (3) - Modern Campus Catalog™,3,ACCT,4234,"Prereq.:,grade of “C” or above in,ACCT 3233,."
ACCT 4121 Advanced Cost Analysis (3) - Modern Campus Catalog™,3,ACCT,4121,"Prereq.:,grade of “C” or above in,ACCT 3121,."
ACCT 4022 Advanced Accounting (3) - Modern Campus Catalog™,3,ACCT,4022,"Prereq.:,grade of “C” or above in,ACCT 3021,."
ACCT 4021 Cases in Accounting Policy (3) - Modern Campus Catalog™,3,ACCT,4021,"Prereq.:,ACCT 3021,and accounting major with senior standing."
ACCT 3233 Internal Auditing I (3) - Modern Campus Catalog™,3,ACCT,3233,
ACCT 3222 Auditing (3) - Modern Campus Catalog™,3,ACCT,3222,"[LCCN: CACC 3313, Auditing (Upper Level)],Prereq.:,grade of “C” or above in,ACCT 3021,and,ACCT 3122,."
ACCT 3221 Income Tax Accounting I (3) - Modern Campus Catalog™,3,ACCT,3221,"[LCCN: CACC 3213, Tax I (Upper Level)],Prereq.:,registration in or grade of “C” or above in,ACCT 3001,.,Credit will not be given for both this course and,ACCT 3201,."
ACCT 3201 Fundamental Tax Problems and Tax Planning for Individuals (3) - Modern Campus Catalog™,3,ACCT,3201,"Not open to accounting majors. Not intended to satisfy the requirements to sit for the CPA exam. For students with little or no previous work in accounting. Credit will not be given for both this course and,ACCT 3221,."
ACCT 3122 Accounting Information Systems (3) - Modern Campus Catalog™,3,ACCT,3122,"Prereq.:,grade of “C” or above in,ACCT 3001,,,ACCT 3025,; and,ISDS 1100,,,ISDS 1101,or,ISDS 1102,.,Majors only or permission of department. Credit will not be given for both this course and,ISDS 3303,."
VMED 5442 Diagnostic Parasitology (1) - Modern Campus Catalog™,1,VMED,5442,
UNST 3900 Interdisciplinarity (3) - Modern Campus Catalog™,3,UNST,3900,"Prereq.:,Standing in the College of Humanities & Social Sciences as an interdisciplinary studies major."
THTR 4300 Special Topics in Arts Administration (3) - Modern Campus Catalog™,3,THTR,4300,"Prereq.:,consent of instructor."
"TAM 7043 Seminar: Textiles, Apparel Design and Merchandising (1) - Modern Campus Catalog™",1,TAM,7043,"“S/U” grading.,May be taken for a max. of 3 hrs. of credit if topics vary."
SOCL 7211 Seminar: Methods of Social Investigation (3) - Modern Campus Catalog™,3,SOCL,7211,"Prereq.:,EXST 7003,or equivalent."
SW 7003 Social Welfare History & Policy (3) - Modern Campus Catalog™,3,SW,7003,"Prereq.:,Social Work majors only and credit for or concurrent registration in,SW 7001,,,SW 7004,,,SW 7005,, and,SW 7007,."
RNR 7030 Aquatic Entomology (4) - Modern Campus Catalog™,4,RNR,7030,
"REL 4400 Religious Thought of Martin Luther King, Jr. & Malcolm X (3) - Modern Campus Catalog™",3,REL,4400,"Also offered as,AAAS 4400,."
PSYC 7185 Behavior Therapy (3) - Modern Campus Catalog™,3,PSYC,7185,"Prereq.:,graduate standing in clinical or school psychology or consent of instructor."
POLI 4075 Politics of Western Europe (3) - Modern Campus Catalog™,3,POLI,4075,
POLI 4074 Politics of the European Union (3) - Modern Campus Catalog™,3,POLI,4074,
PHYS 7745 Advanced Quantum Theory of Particles and Fields (3) - Modern Campus Catalog™,3,PHYS,7745,
PHYS 7742 Stellar Astrophysics (3) - Modern Campus Catalog™,3,PHYS,7742,"Prereq.:,PHYS 7741,is prerequisite for PHYS 7742."
PHYS 7741 Stellar Astrophysics (3) - Modern Campus Catalog™,3,PHYS,7741,
PHYS 7538 Monte Carlo Simulation of Radiation Transport (3) - Modern Campus Catalog™,3,PHYS,7538,"Same as,MEDP 7538,."
PHIL 4928 Medieval Philosophy (3) - Modern Campus Catalog™,3,PHIL,4928,"Also offered as,REL 4928,."
PHIL 4924 Aristotle (3) - Modern Campus Catalog™,3,PHIL,4924,"Prereq.:,PHIL 2033,or equivalent."
PHIL 4922 Plato (3) - Modern Campus Catalog™,3,PHIL,4922,"Prereq.:,PHIL 2033,or equivalent."
**COURSE SEARCH** - Louisiana State University - Modern Campus Catalog™,1,**COURSE,,"Since this catalog was prepared well in advance of its effective date, some courses may have been added, others may have been dropped, and/or changes in content may have been made."
PBS 7530 Laboratory Animal Science I (2) - Modern Campus Catalog™,2,PBS,7530,"Prereq.:,DVM degree or equivalent and consent of instructor."
PBS 7525 Advanced Veterinary Clinical Pathology (1-2) - Modern Campus Catalog™,2,PBS,7525,"Prereq.:,DVM degree or equivalent."
PBS 7516 Advanced Diagnostic Pathology of Animals (1-2) - Modern Campus Catalog™,2,PBS,7516,"Prereq.:,DVM degree or equivalent."
PBS 7515 Veterinary Dermatopathology (2) - Modern Campus Catalog™,2,PBS,7515,"Prereq.:,DVM degree or equivalent and,PBS 7516,.,1 hr. lecture; 2 hrs. lab."
PBS 7514 Laboratory Animal Pathology (2) - Modern Campus Catalog™,2,PBS,7514,"Prereq.:,DVM degree or equivalent and consent of instructor."
OCS 4128 Wetland Hydrology and Hydrodynamics (3) - Modern Campus Catalog™,3,OCS,4128,"Prereq.:,MATH 1550,,,MATH 1552,,,GEOL 1001,or equivalent."
OCS 4090 Marine and Environmental Microbiology (3) - Modern Campus Catalog™,3,OCS,4090,"Also offered as,BIOL 4090,.,Prereq.:,BIOL 2051,or equivalent."
OCS 4126 Chemical Oceanography (3) - Modern Campus Catalog™,3,OCS,4126,
OCS 4061 Introductory Oceanographic Data Analysis (3) - Modern Campus Catalog™,3,OCS,4061,"Prereq.:,MATH 1550,and,EXST 2201,.,2 hrs. lecture; 2 hrs. lab."
MUTH 4250 Music Therapy Practicum IV (1) - Modern Campus Catalog™,1,MUTH,4250,
MUTH 3400 Music Therapy Professional Skills and Applications (3) - Modern Campus Catalog™,3,MUTH,3400,
